Kit Number,Name,Position,Date of Birth,Market Value
1,Alisson,Goalkeeper,"Oct 2, 1992 (31)",€32.00m
62,Caoimhín Kelleher,Goalkeeper,"Nov 23, 1998 (25)",€15.00m
13,Adrián,Goalkeeper,"Jan 3, 1987 (37)",€600k
5,Ibrahima Konaté,Centre-Back,"May 25, 1999 (24)",€38.00m
4,Virgil van Dijk,Centre-Back,"Jul 8, 1991 (32)",€32.00m
2,Joe Gomez,Centre-Back,"May 23, 1997 (26)",€22.00m
32,Joel Matip,Centre-Back,"Aug 8, 1991 (32)",€8.00m
78,Jarell Quansah,Centre-Back,"Jan 29, 2003 (21)",€6.00m
-,Rhys Williams,Centre-Back,"Feb 3, 2001 (23)",€1.80m
26,Andrew Robertson,Left-Back,"Mar 11, 1994 (29)",€35.00m
21,Konstantinos Tsimikas,Left-Back,"May 12, 1996 (27)",€22.00m
66,Trent Alexander-Arnold,Right-Back,"Oct 7, 1998 (25)",€70.00m
84,Conor Bradley,Right-Back,"Jul 9, 2003 (20)",€2.00m
3,Wataru Endo,Defensive Midfield,"Feb 9, 1993 (30)",€13.00m
43,Stefan Bajcetic,Defensive Midfield,"Oct 22, 2004 (19)",€11.00m
8,Dominik Szoboszlai,Central Midfield,"Oct 25, 2000 (23)",€75.00m
10,Alexis Mac Allister,Central Midfield,"Dec 24, 1998 (25)",€65.00m
38,Ryan Gravenberch,Central Midfield,"May 16, 2002 (21)",€35.00m
17,Curtis Jones,Central Midfield,"Jan 30, 2001 (23)",€30.00m
6,Thiago,Central Midfield,"Apr 11, 1991 (32)",€10.00m
19,Harvey Elliott,Attacking Midfield,"Apr 4, 2003 (20)",€30.00m
7,Luis Díaz,Left Winger,"Jan 13, 1997 (27)",€75.00m
18,Cody Gakpo,Left Winger,"May 7, 1999 (24)",€50.00m
20,Diogo Jota,Left Winger,"Dec 4, 1996 (27)",€50.00m
11,Mohamed Salah,Right Winger,"Jun 15, 1992 (31)",€65.00m
50,Ben Doak,Right Winger,"Nov 11, 2005 (18)",€10.00m
9,Darwin Núñez,Centre-Forward,"Jun 24, 1999 (24)",€65.00m
31,Ederson,Goalkeeper,"Aug 17, 1993 (30)",€40.00m
18,Stefan Ortega,Goalkeeper,"Nov 6, 1992 (31)",€9.00m
33,Scott Carson,Goalkeeper,"Sep 3, 1985 (38)",€200k
3,Rúben Dias,Centre-Back,"May 14, 1997 (26)",€80.00m
24,Josko Gvardiol,Centre-Back,"Jan 23, 2002 (22)",€80.00m
25,Manuel Akanji,Centre-Back,"Jul 19, 1995 (28)",€42.00m
6,Nathan Aké,Centre-Back,"Feb 18, 1995 (28)",€40.00m
